127.0.0.1, 2019-02-06 23:56:30, GET, /gui/default/attendence, HTTP/1.1, 500, 6.351483
127.0.0.1, 2019-02-06 23:56:30, GET, /favicon.ico, HTTP/1.1, 400, 0.000298
127.0.0.1, 2019-02-06 23:56:32, GET, /admin/default/ticket/gui/127.0.0.1.2019-02-06.23-56-24.f00b3ee1-671c-4e3d-9de3-dab1dbb45249, HTTP/1.1, 200, 0.037072
127.0.0.1, 2019-02-06 23:56:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000194
127.0.0.1, 2019-02-07 00:00:13, GET, /gui/default/attendence, HTTP/1.1, 500, 2.402301
127.0.0.1, 2019-02-07 00:00:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000384
127.0.0.1, 2019-02-07 00:09:18, GET, /gui/default/attendence, HTTP/1.1, 500, 0.731855
127.0.0.1, 2019-02-07 00:09:18, GET, /favicon.ico, HTTP/1.1, 400, 0.000219
127.0.0.1, 2019-02-07 00:11:12, GET, /gui/default/index, HTTP/1.1, 200, 0.252514
127.0.0.1, 2019-02-07 00:11:21, GET, /gui/default/attendence, HTTP/1.1, 500, 1.606460
127.0.0.1, 2019-02-07 00:11:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000678
127.0.0.1, 2019-02-07 00:11:29, GET, /gui/default/attendence, HTTP/1.1, 500, 2.110652
127.0.0.1, 2019-02-07 00:11:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000279
127.0.0.1, 2019-02-07 00:12:00, GET, /gui/default/attendence, HTTP/1.1, 500, 0.038779
127.0.0.1, 2019-02-07 00:12:00, GET, /favicon.ico, HTTP/1.1, 400, 0.000348
127.0.0.1, 2019-02-07 00:12:02, GET, /gui/default/index, HTTP/1.1, 500, 0.042657
127.0.0.1, 2019-02-07 00:12:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000319
127.0.0.1, 2019-02-07 00:12:10, GET, /gui/default/index, HTTP/1.1, 500, 0.038467
127.0.0.1, 2019-02-07 00:12:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000354
127.0.0.1, 2019-02-07 00:12:12, GET, /admin/default/ticket/gui/127.0.0.1.2019-02-07.00-12-10.d9787818-2880-4966-ac2d-f58c37e1679c, HTTP/1.1, 200, 0.079697
127.0.0.1, 2019-02-07 00:12:12, GET, /favicon.ico, HTTP/1.1, 400, 0.000238
127.0.0.1, 2019-02-07 00:12:25, GET, /gui/default/index, HTTP/1.1, 200, 0.022749
127.0.0.1, 2019-02-07 00:12:25, GET, /gui/static/images/favicon.ico, HTTP/1.1, 200, 0.000592
127.0.0.1, 2019-02-07 00:12:28, GET, /gui/default/attendence, HTTP/1.1, 500, 0.183448
127.0.0.1, 2019-02-07 00:12:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000390
127.0.0.1, 2019-02-07 00:12:33, GET, /admin/default/ticket/gui/127.0.0.1.2019-02-07.00-12-27.ba5a5a08-3508-4ffe-8a56-26d4841eb61e, HTTP/1.1, 200, 0.029461
127.0.0.1, 2019-02-07 00:12:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000356
127.0.0.1, 2019-02-07 00:12:55, GET, /gui/default/attendence, HTTP/1.1, 500, 0.677809
127.0.0.1, 2019-02-07 00:12:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000258
127.0.0.1, 2019-02-07 00:13:00, GET, /gui/default/index, HTTP/1.1, 200, 0.049307
