127.0.0.1, 2019-04-23 11:40:23, GET, /, HTTP/1.1, 303, 1.019257
127.0.0.1, 2019-04-23 11:40:27, GET, /welcome/default/index, HTTP/1.1, 200, 3.692931
127.0.0.1, 2019-04-23 11:44:41, GET, /, HTTP/1.1, 303, 1.189252
127.0.0.1, 2019-04-23 11:44:43, GET, /welcome/default/index, HTTP/1.1, 200, 0.750191
127.0.0.1, 2019-04-23 11:44:57, GET, /gui, HTTP/1.1, 404, 0.015003
127.0.0.1, 2019-04-23 11:45:13, GET, /, HTTP/1.1, 303, 0.001001
127.0.0.1, 2019-04-23 11:45:13, GET, /welcome/default/index, HTTP/1.1, 200, 0.111028
127.0.0.1, 2019-04-23 11:45:16, GET, /admin/default/site, HTTP/1.1, 303, 0.458116
127.0.0.1, 2019-04-23 11:45:16, GET, /admin/default/index, HTTP/1.1, 200, 0.142035
127.0.0.1, 2019-04-23 11:45:20, POST, /admin/default/index, HTTP/1.1, 303, 0.023005
127.0.0.1, 2019-04-23 11:45:20, GET, /admin/default/site, HTTP/1.1, 200, 0.680172
127.0.0.1, 2019-04-23 11:45:21, GET, /admin/static/_2.18.5/images/folder_locked.png, HTTP/1.1, 200, 0.008005
127.0.0.1, 2019-04-23 11:45:21, GET, /admin/static/_2.18.5/images/folder.png, HTTP/1.1, 200, 0.002997
127.0.0.1, 2019-04-23 11:45:21, GET, /admin/static/_2.18.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.002001
127.0.0.1, 2019-04-23 11:45:22, POST, /admin/default/check_version, HTTP/1.1, 200, 1.041260
127.0.0.1, 2019-04-23 11:45:22, GET, /gui/default/index, HTTP/1.1, 404, 0.004002
127.0.0.1, 2019-04-23 11:46:58, GET, /, HTTP/1.1, 303, 0.001000
127.0.0.1, 2019-04-23 11:46:59, GET, /welcome/default/index, HTTP/1.1, 200, 0.055015
127.0.0.1, 2019-04-23 11:47:04, GET, /gui, HTTP/1.1, 500, 0.811205
127.0.0.1, 2019-04-23 11:47:07, GET, /admin/default/ticket/gui/127.0.0.1.2019-04-23.11-47-04.c2b5a081-74e7-438f-b875-3b239635cfbf, HTTP/1.1, 303, 0.015007
127.0.0.1, 2019-04-23 11:47:07, GET, /admin/default/index, HTTP/1.1, 200, 0.033010
127.0.0.1, 2019-04-23 11:47:11, POST, /admin/default/index, HTTP/1.1, 303, 0.031012
127.0.0.1, 2019-04-23 11:47:11, GET, /admin/default/ticket/gui/127.0.0.1.2019-04-23.11-47-04.c2b5a081-74e7-438f-b875-3b239635cfbf, HTTP/1.1, 200, 0.134035
127.0.0.1, 2019-04-23 11:48:11, GET, /gui, HTTP/1.1, 500, 0.163043
127.0.0.1, 2019-04-23 11:48:13, GET, /admin/default/ticket/gui/127.0.0.1.2019-04-23.11-48-11.304f8d51-6ee0-41a7-808b-47ddd9291a1e, HTTP/1.1, 200, 0.078020
127.0.0.1, 2019-04-23 11:49:21, GET, /admin/default/ticket/gui/127.0.0.1.2019-04-23.11-48-11.304f8d51-6ee0-41a7-808b-47ddd9291a1e, HTTP/1.1, 200, 0.056014
127.0.0.1, 2019-04-23 11:49:26, GET, /gui, HTTP/1.1, 500, 0.197049
127.0.0.1, 2019-04-23 11:49:28, GET, /admin/default/ticket/gui/127.0.0.1.2019-04-23.11-49-26.2809e746-6e06-4de3-a643-e94b7917d23a, HTTP/1.1, 200, 0.065017
127.0.0.1, 2019-04-23 11:50:08, GET, /gui, HTTP/1.1, 500, 0.180046
127.0.0.1, 2019-04-23 11:50:10, GET, /admin/default/ticket/gui/127.0.0.1.2019-04-23.11-50-08.0d748b76-811e-457a-8a7d-63627c77b55f, HTTP/1.1, 200, 0.092016
127.0.0.1, 2019-04-23 11:51:00, GET, /gui, HTTP/1.1, 500, 0.156039
127.0.0.1, 2019-04-23 11:51:02, GET, /admin/default/ticket/gui/127.0.0.1.2019-04-23.11-51-00.a466c73f-e359-4cd0-84c6-d05a04002c23, HTTP/1.1, 200, 0.098025
127.0.0.1, 2019-04-23 11:51:37, GET, /gui, HTTP/1.1, 500, 0.161041
127.0.0.1, 2019-04-23 11:51:39, GET, /admin/default/ticket/gui/127.0.0.1.2019-04-23.11-51-37.cc52764b-f1c4-4646-aae3-9bd38f1d3820, HTTP/1.1, 200, 0.063011
127.0.0.1, 2019-04-23 11:52:26, GET, /, HTTP/1.1, 303, 0.001001
127.0.0.1, 2019-04-23 11:52:27, GET, /welcome/default/index, HTTP/1.1, 200, 0.045015
127.0.0.1, 2019-04-23 11:52:30, GET, /admin/default/site, HTTP/1.1, 200, 1.000984
127.0.0.1, 2019-04-23 11:52:34, POST, /admin/default/check_version, HTTP/1.1, 200, 2.445197
